Videos,Date,Celebrity,eye:winged,eye:effect,eye:smokey,eye:glitter,liner:just_eyeliner,liner:graphic liner,liner:winged,liner:lower_accent color,lip:effect,skin:darker,skin:paler,skin:effect,occasion:day,occasion:day_event,occasion:work,occasion:work_creative,occasion:work_party,occasion:evening,occasion:evening_party,occasion:evening_blacktie,occasion:masquerade,occasion:bridal,occasion:first_date,lip:bold,style:classic_graphic,style:classic_outline,style:glam_classic,style:glam_outline,style:urban_glam,style:edgy,style:trendy,style:boho,style:casual_chic,style:retro,eye_color:white,eye_color:pink,eye_color:peach,eye_color:red,eye_color:orange,eye_color:coral,eye_color:yellow,eye_color:green,eye_color:turquoise,eye_color:lightblue,eye_color:blue,eye_color:plum,eye_color:purple,eye_color:silver,eye_color:gold,eye_color:nude,eye_color:copperbronze,eye_color:brown,eye_color:taupe,eye_color:grey,eye_color:black,lip_color:brownbronze,lip_color:nude,lip_color:red,lip_color:berryplum,lip_color:softpink,lip_color:brightpink,lip_color:other,eyes:enhance,eyes:use,eyes:create,lips:use,lips:create,face:create,face:use,face:fix,face:use,skin:fix,skin:care,nails:create,hair:care,hair:create,looks,tools:product,tools:care,tools:use
NCWhWlPMdgI,24-Nov-10,Kate Middleton,,,,,,,,,,,,,,x,,,,,,x,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
6Xov3-1EAAA,21-Apr-11,Kate Moss,,,,,,,,,,,,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
R4wXCiL4zpc,18-Oct-10,Katy Perry,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z8MEo3UA5Gs,6-Oct-10,Katy Perry,,,x,,,,x,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
G6XrHfi8cM4,18-Apr-11,Keira Knightley,,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
3DYb9Wv_Hz4,13-Jul-10,Kim Kardashian,,,x,,,,x,,,,,,,,,,,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
muep2oUDE9Y,26-May-10,Kim Kardashian,,,,x,,x,x,,,,,,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
RJ-k-MEPIWI,22-Apr-11,Kim Kardashian,,,x,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
3W6UZQE6R3g,14-Jun-10,Kimberly Wyatt,,,,,x,x,x,,,,,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
EimdVab_yAY,27-Aug-10,Kristen Stewart,,,x,,,,,,,,,,,x,,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,X,,,,,,,,X,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pv74Y8QGYng,5-Jul-10,Kristen Stewart,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,
FbVprBiGxIk,2-Aug-10,Kylie Minogue,,,,,,,x,,,,,,,x,,,x,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
pr7trpq0OP8,31-Jul-10,Kylie Minogue,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,
A9uloFIUnVQ,21-Mar-11,Lady Gaga,,x,,,x,,x,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Jh7xNqDhDFQ,9-Mar-11,Lady GaGa,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
daSLTj75-cA,30-Jul-10,Lauren Conrad,,,,,,,x,,,,,,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
qvSNptQmK1M,26-Feb-11,Lucy Hale,,,,,,,,,,,,,,x,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
pjP1Aw_PiTg,24-Apr-11,Madonna,,,,x,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,
HbNYiYfANik,15-Feb-11,Mary-Kate Olsen,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_0D5fa452uI,6-May-11,Mila Kunis,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,
7XiSXxejXg8,24-Mar-11,Mila Kunis,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Tzqwhs3qCWU,1-Mar-11,Mila Kunis,,,,,,x,x,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,
